"","preferred_animal","animal","subject_id","trial","happiness"
"1","Cats","hedgehog","1","trial_1",6.7
"2","Cats","hedgehog","1","trial_2",8.5
"3","Cats","cat","2","trial_1",7
"4","Cats","cat","2","trial_2",7
"5","Cats","cat","3","trial_1",7
"6","Cats","cat","3","trial_2",7
"7","Cats","hedgehog","4","trial_1",8.3
"8","Cats","hedgehog","4","trial_2",9.5
"9","Cats","hedgehog","5","trial_1",8
"10","Cats","hedgehog","5","trial_2",8
"11","Cats","cat","6","trial_1",6.1
"12","Cats","cat","6","trial_2",6
"13","Cats","hedgehog","7","trial_1",9.6
"14","Cats","hedgehog","7","trial_2",9.5
"15","Hedgehogs","cat","8","trial_1",8.5
"16","Hedgehogs","cat","8","trial_2",8.7
"17","Cats","hedgehog","9","trial_1",6.1
"18","Cats","hedgehog","9","trial_2",6.1
"19","Hedgehogs","cat","10","trial_1",2
"20","Hedgehogs","cat","10","trial_2",2
"21","Cats","hedgehog","11","trial_1",3.5
"22","Cats","hedgehog","11","trial_2",4.8
"23","Cats","cat","12","trial_1",8
"24","Cats","cat","12","trial_2",8.5
"25","Hedgehogs","hedgehog","13","trial_1",8
"26","Hedgehogs","hedgehog","13","trial_2",8
"27","Cats","cat","14","trial_1",6.3
"28","Cats","cat","14","trial_2",6.2
"29","Cats","hedgehog","15","trial_1",3.9
"30","Cats","hedgehog","15","trial_2",4
"31","Cats","cat","16","trial_1",6
"32","Cats","cat","16","trial_2",7
"33","Cats","hedgehog","17","trial_1",4.9
"34","Cats","hedgehog","17","trial_2",4.9
"35","Hedgehogs","cat","18","trial_1",7
"36","Hedgehogs","cat","18","trial_2",7
"37","Hedgehogs","cat","19","trial_1",2.8
"38","Hedgehogs","cat","19","trial_2",2.8
"39","Hedgehogs","hedgehog","20","trial_1",7
"40","Hedgehogs","hedgehog","20","trial_2",8.1
"41","Hedgehogs","hedgehog","21","trial_1",7.5
"42","Hedgehogs","hedgehog","21","trial_2",8
"43","Cats","hedgehog","22","trial_1",6
"44","Cats","hedgehog","22","trial_2",6
"45","Cats","hedgehog","23","trial_1",5
"46","Cats","hedgehog","23","trial_2",5
"47","Hedgehogs","cat","24","trial_1",8.5
"48","Hedgehogs","cat","24","trial_2",8.5
"49","Cats","cat","25","trial_1",7.2
"50","Cats","cat","25","trial_2",7.6
"51","Cats","hedgehog","26","trial_1",8.1
"52","Cats","hedgehog","26","trial_2",8.1
"53","Cats","hedgehog","27","trial_1",10
"54","Cats","hedgehog","27","trial_2",10
"55","Cats","cat","28","trial_1",8
"56","Cats","cat","28","trial_2",9
"57","Cats","cat","29","trial_1",5.1
"58","Cats","cat","29","trial_2",6.2
"59","Cats","hedgehog","30","trial_1",5
"60","Cats","hedgehog","30","trial_2",4.9
"61","Cats","cat","31","trial_1",7.4
"62","Cats","cat","31","trial_2",7.4
"63","Cats","hedgehog","32","trial_1",3
"64","Cats","hedgehog","32","trial_2",3
"65","Cats","hedgehog","33","trial_1",8
"66","Cats","hedgehog","33","trial_2",8
"67","Cats","hedgehog","35","trial_1",7.5
"68","Cats","hedgehog","35","trial_2",7.5
"69","Cats","cat","36","trial_1",6
"70","Cats","cat","36","trial_2",6.6
"71","Cats","hedgehog","37","trial_1",6.9
"72","Cats","hedgehog","37","trial_2",7.3
"73","Hedgehogs","cat","38","trial_1",8.4
"74","Hedgehogs","cat","38","trial_2",8.8
"75","Cats","hedgehog","39","trial_1",7
"76","Cats","hedgehog","39","trial_2",7
"77","Cats","cat","40","trial_1",5.3
"78","Cats","cat","40","trial_2",5.5
"79","Cats","cat","41","trial_1",4.4
"80","Cats","cat","41","trial_2",4.9
"81","Cats","hedgehog","42","trial_1",8.3
"82","Cats","hedgehog","42","trial_2",8.3
"83","Cats","hedgehog","43","trial_1",2
"84","Cats","hedgehog","43","trial_2",2
"85","Cats","cat","44","trial_1",7.8
"86","Cats","cat","44","trial_2",8.5
"87","Hedgehogs","cat","45","trial_1",7.6
"88","Hedgehogs","cat","45","trial_2",7.7
"89","Hedgehogs","hedgehog","46","trial_1",8.9
"90","Hedgehogs","hedgehog","46","trial_2",9.1
"91","Cats","cat","47","trial_1",5
"92","Cats","cat","47","trial_2",5
"93","Cats","hedgehog","48","trial_1",9.4
"94","Cats","hedgehog","48","trial_2",9.5
"95","Hedgehogs","cat","49","trial_1",3.7
"96","Hedgehogs","cat","49","trial_2",3.4
"97","Cats","hedgehog","50","trial_1",3
"98","Cats","hedgehog","50","trial_2",3.2
"99","Cats","hedgehog","51","trial_1",8
"100","Cats","hedgehog","51","trial_2",8.1
"101","Cats","cat","52","trial_1",5.8
"102","Cats","cat","52","trial_2",6.2
"103","Cats","cat","53","trial_1",7
"104","Cats","cat","53","trial_2",8
"105","Hedgehogs","hedgehog","54","trial_1",7
"106","Hedgehogs","hedgehog","54","trial_2",7
"107","Cats","hedgehog","55","trial_1",6
"108","Cats","hedgehog","55","trial_2",6.9
"109","Cats","cat","56","trial_1",4
"110","Cats","cat","56","trial_2",4
"111","Cats","hedgehog","57","trial_1",4
"112","Cats","hedgehog","57","trial_2",6
"113","Cats","cat","58","trial_1",5
"114","Cats","cat","58","trial_2",5
"115","Cats","hedgehog","59","trial_1",6.8
"116","Cats","hedgehog","59","trial_2",7.1
"117","Cats","cat","60","trial_1",9
"118","Cats","cat","60","trial_2",9
"119","Cats","hedgehog","61","trial_1",8.5
"120","Cats","hedgehog","61","trial_2",8
"121","Cats","cat","62","trial_1",9
"122","Cats","cat","62","trial_2",9
"123","Cats","hedgehog","63","trial_1",6.6
"124","Cats","hedgehog","63","trial_2",6.5
"125","Cats","cat","64","trial_1",6
